"CÓDIGO","NOME","PRÉ-REQUISITO","DURACAO","PERIODO"
"BCC701","PROGRAMACAO DE COMPUTADORES I","","1","1"
"CSO117","METODOLOGIA DE PESQUISA","","1","1"
"MTM122","CALCULO DIFERENCIAL E INTEGRAL I","","1","1"
"MTM730","GEOMETRIA ANALITICA E ALGEBRA LINEAR","","1","1"
"QUI701","QUIMICA FUNDAMENTAL","","1","1"
"ARQ205","REPRESENTACAO GRAFICA","","1","2"
"BCC702","PROGRAMACAO DE COMPUTADORES II","BCC701","1","2"
"EST202","ESTATISTICA E PROBABILIDADE","","1","2"
"FIS106","FUNDAMENTOS DE MECANICA","MTM122;MTM730","1","2"
"MTM123","CALCULO DIFERENCIAL E INTEGRAL II","MTM122","1","2"
"BCC760","CALCULO NUMERICO","","1","3"
"FIS107","FUNDAMENTOS DE TERMODINAMICA","FIS106;MTM123","1","3"
"FIS108","FUNDAMENTOS DE FLUIDOS, OSCILACOES E ONDAS","FIS106;MTM123","1","3"
"FIS109","FUNDAMENTOS DE ELETROMAGNETISMO","FIS106;MTM123","1","3"
"MTM124","CALCULO DIFERENCIAL E INTEGRAL III","MTM123","1","3"
"MTM125","INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS","MTM123","1","3"
"BCC720","SISTEMAS DE COMPUTACAO PARA CONTROLE E AUTOMACAO","BCC702","1","4"
"CAT176","ANALISE DE CIRCUITOS ELETRICOS","","1","4"
"FIS105","FUNDAMENTOS DE FISICA EXPERIMENTAL","FIS109;MTM124","1","4"
"FIS110","FUNDAMENTOS DE OPTICA E QUANTICA","FIS109;MTM124","1","4"
"MEC124","FENOMENOS DE TRANSPORTE","FIS107;FIS108","1","4"
"MTM146","MATEMATICA APLICADA A ENG.DE CONTROLE E AUTOMACAO","MTM124;MTM125;MTM730","1","4"
"BCC721","CIRCUITOS DIGITAIS","BCC720","1","5"
"CAT141","TEORIA DE CONTROLE I","","1","5"
"CAT164","ELETROTECNICA PARA CONTROLE E AUTOMACAO","","1","5"
"CAT165","CIRCUITOS E DISPOSITVOS ELETRONICOS","","1","5"
"CIV107","RESISTENCIA DOS MATERIAIS E ESTRUTURAS","","1","5"
"BCC342","INTRODUCAO A OTIMIZACAO","BCC702;BCC760","1","6"
"CAT163","INSTRUMENTACAO","","1","6"
"CAT169","ACIONAMENTOS ELETRICOS","","1","6"
"CAT183","TEORIA DE CONTROLE II","","1","6"
"MET702","ENGENHARIA NOS PROCESSOS DE METALURGIA","","1","6"
"BCC425","SISTEMAS EMBUTIDOS","BCC721","1","7"
"BCC740","INTELIGENCIA ARTIFICIAL","BCC702","1","7"
"CAT166","TEORIA DE CONTROLE III","","1","7"
"CAT175","INFORMATICA INDUSTRIAL","","1","7"
"MIN107","ENGENHARIA NOS PROCESSOS DE MINERACAO","","1","7"
"BCC722","PROGRAMACAO DE SISTEMAS EM TEMPO REAL","BCC425","1","8"
"CAT167","SISTEMAS INTEGRADOS DE MANUFATURA","","1","8"
"CAT181","ELEMENTOS DE ROBOTICA","","1","8"
"CAT490","TRABALHO FINAL DE CURSO I","","1","8"
"DIR250","INTRODUCAO AO DIREITO E LEGISLACAO","","1","8"
"MEC142","ACIONAMENTO FLUIDOMECANICOS","","1","8"
"CAT168","INTERFACEAMENTO DE SISTEMAS","","1","9"
"CAT491","TRABALHO FINAL DE CURSO II","CAT490","1","9"
"PRO243","ORGANIZACAO E ADMINISTRACAO I","","1","9"
"AMB111","ENGENHARIA AMBIENTAL BASICA M","","1","10"
"PRO215","PLANEJAMENTO E CONTROLE DA PRODUCAO I","","1","10"
"PRO224","ECONOMIA DA ENGENHARIA","","1","10"
